ASVS Item #;Requirement;Exigence;Niveau 1;Niveau 2;Niveau 3;Test terminé?;Résultat
V2.16;Verify that credentials, and all other identity information handled by the application(s), do not traverse unencrypted or weakly encrypted links.;Vérifier que les identifiants utilisateur, et toute autre information d’identité traitées par l’application ne traversent pas de liens non ou faiblement chiffrés.;Y;Y;Y;;
V2.17;Verify that the forgotten password function and other recovery paths do not reveal the current password and that the new password is not sent in clear text to the user.;Vérifier que la fonctionnalité mot de passe oublié et autre chemins de recouvrement ne révèlent pas le mot de passe courant et que le nouveau mot de passe n’est pas envoyé en texte clair à l’utilisateur.;Y;Y;Y;;
V2.18;Verify that username enumeration is not possible via login, password reset, or forgot account functionality.;Vérifier que l’énumération de noms d’utilisateurs n’est pas possible via les fonctionnalités d’authentification, réinitialisation de mot de passé ou identifiant oublié.;Y;Y;Y;;
V2.19;Verify there are no default passwords in use for the application framework or any components used by the application (such as “admin/password”).;Vérifier qu’aucun mot de passe par défaut (tel que admin/password) n’est utilisé pour le framework de l’application ou un de ses composants.;Y;Y;Y;;
V2.20;Verify that a resource governor is in place to protect against vertical (a single account tested against all possible passwords) and horizontal brute forcing (all accounts tested with the same password e.g. “Password1”). A correct credential entry should incur no delay. Both these governor mechanisms should be active simultaneously to protect against diagonal and distributed attacks.;Vérifier qu’un gouverneur de ressources est en place pour protéger contre une attaque par force brute vertical (un même compte utilisateur testé avec tous les mots de passe possibles) et horizontale (tous les comptes testés avec le même mot de passe, par ex. 12345). Un identifiant correct ne devrait subir aucun délai. Ces deux mécanismes de gouvernance devraient être actifs en même temps pour protéger contre des attaques diagonales et distribuées.;N;Y;Y;;
V2.21;Verify that all authentication credentials for accessing services external to the application are encrypted and stored in a protected location (not in source code).;Vérifier que tous les identifiants pour accéder des services externalisés sont chiffrés et stockés en lieu protégé (pas dans le code source).;N;Y;Y;;
V2.22;Verify that forgot password and other recovery paths send a link including a time-limited activation token rather than the password itself. Additional authentication based on soft-tokens (e.g. SMS token, native mobile applications, etc.) can be required as well before the link is sent over.;Vérifier que les fonctions de recouvrement, comme le mot de passe, envoient un lien incluant un token d’activation limité dans le temps plutôt que le mot de passe lui-même. Une authentification complémentaire de type soft-token (par ex. token SMS, application mobile native, etc.) peut être requise également avant que le lien ne soit envoyé.;N;Y;Y;;
V2.23;Verify that forgot password functionality does not lock or otherwise disable the account until after the user has successfully changed their password. This is to prevent valid users from being locked out. ;Vérifier que la fonctionnalité de mot de passe perdu ne verrouille pas ou ne désactive pas le compte avant que l’utilisateur n’ait effectivement changé son mot de passe. Cela pour prévenir des utilisateurs valides d’être bloqués.;N;Y;Y;;
V2.24;"Verify that there are no shared knowledge questions/answers (so called ""secret"" questions and answers).";Vérifier qu’ils n’existent pas de questions/réponses partagées (communément appelées questions secrètes);N;Y;Y;;
V2.25;Verify that the system can be configured to disallow the use of a configurable number of previous passwords.;Vérifier que le système peut être configure pour empêcher l’utilisation d’un nombre configurable de mots de passe précédemment utilisés.;N;Y;Y;;
V2.26;Verify re-authentication, step up or adaptive authentication, SMS or other two factor authentication, or transaction signing is required before any application-specific sensitive operations are permitted as per the risk profile of the application.;Vérifier qu’une réauthentification, authentification adaptative ou étape supplémentaire, SMS ou autre second facteur, ou signature de transaction est requise avant que toute opération sensible ne soit permise en fonction du profil de risque de l’application.;N;N;Y;;
V3.1;Verify that the framework’s default session management control implementation is used by the application.;Vérifier que l’application utilise l’implémentation du contrôle de gestion de session par défaut du framework.;Y;Y;Y;;
V3.2;Verify that sessions are invalidated when the user logs out.;Vérifier que les sessions sont invalidées lorsque l’utilisateur se déconnecte.;Y;Y;Y;;
V3.3;Verify that sessions timeout after a specified period of inactivity.;Vérifier que les sessions s’interrompent après une période d’inactivité donnée.;Y;Y;Y;;
V3.4;Verify that sessions timeout after an administratively-configurable maximum time period regardless of activity (an absolute timeout).;Vérifier que les sessions sont interrompues après une période (absolue) définie configurable, sans lien avec l’inactivité.;N;Y;Y;;
V3.5;Verify that all pages that require authentication to access them have logout links.;Vérifier que toutes les pages qui requièrent une authentification pour être accédées possèdent un lien de déconnection.;Y;Y;Y;;
V3.6;"Verify that the session id is never disclosed other than in cookie headers; particularly in URLs, error messages, or logs. This includes verifying that the application does not support URL rewriting of session cookies.";"Vérifier que l’id de session n’est jamais divulgué autrement que dans les entêtes de cookie; en particulier au niveau des URLs, messages d’erreur, ou journaux. Cela inclut la vérification que l’application ne supporte pas la réécriture d’URL des cookies de session.";Y;Y;Y;;
V3.7;Verify that the session id is changed on login to prevent session fixation.;Vérifier que l’id de session est renouvelé pour empêcher la fixation de session. (CWE-84, WASC-37, CAPEC-61);N;Y;Y;;
V3.8;Verify that the session id is changed upon re-authentication.;Vérifier que l’id de session est renouvelé lors d’une réauthentification.;N;Y;Y;;
V3.10;Verify that only session ids generated by the application framework are recognized as valid by the application.;Vérifier qu’uniquement les ids de session générés par le framework de l’application sont reconnus comme valides par l’application.;N;Y;Y;;
V3.11;Verify that authenticated session tokens are sufficiently long and random to withstand session guessing attacks.;Vérifier que les tokens de session authentifiée sont suffisamment longs et aléatoires pour résister aux attaques intuitives.;N;Y;Y;;
V3.12;Verify that authenticated session tokens using cookies have their path set to an appropriately restrictive value for that site. The domain cookie attribute restriction should not be set unless for a business requirement, such as single sign on.;Vérifier que les tokens de session authentifiée utilisant les cookies ont leur chemin défini à une valeur restrictive appropriée pour ce site. La restriction de l’attribut domain du cookie ne devrait pas être définie, à moins d’une exigence de business, comme le single sign on.;N;Y;Y;;
V3.14;"Verify that authenticated session tokens using cookies sent via HTTP, are protected by the use of ""HttpOnly"".";"Vérifier que les tokens de session authentifiée utilisant les cookies envoyés via http sont protégés par l’utilisation de ""HttpOnly"".";Y;Y;Y;;
V3.15;"Verify that authenticated session tokens using cookies are protected with the ""secure"" attribute and a strict transport security header (such as Strict-Transport-Security: max-age=60000; includeSubDomains) are present.";"Vérifier que les tokens de session authentifiée utilisant les cookies sont protégés avec l’attribut “secure” et un entête strict transport security (comme Strict-Transport-Security: max-age=60000; includeSubDomains) sont présents.";Y;Y;Y;;
V3.16;Verify that the application does not permit duplicate concurrent user sessions, originating from different machines. ;Vérifier que l’application ne permet pas les sessions utilisateur concurrentes simultanées en provenance de machines différentes.;N;Y;Y;;
V4.1;Verify that users can only access secured functions or services for which they possess specific authorization.;Vérifier que les utilisateurs peuvent seulement accéder aux fonctions ou services sécurisés pour lesquels ils ont une autorisation spécifique.;Y;Y;Y;;
V4.2;Verify that users can only access secured URLs for which they possess specific authorization.;Vérifier que les utilisateurs niquement accéder à des URLs sécurisées pour lesquelles ils ont une autorisation spécifique.;Y;Y;Y;;
V4.3;Verify that users can only access secured data files for which they possess specific authorization.;Vérifier que les utilisateurs niquement accéder à des fichiers de données sécurisés pour lesquels ils ont une autorisation spécifique.;Y;Y;Y;;
V4.4;Verify that direct object references are protected, such that only authorized objects or data are accessible to each user (for example, protect against direct object reference tampering).;Vérifier que les références aux objets directes sont protégées, de telle sorte que seuls les objets ou données autorisés sont accessibles à chaque utilisateur (par exemple, protection contre la falsification de référence directe aux objets).;Y;Y;Y;;
V4.5;Verify that directory browsing is disabled unless deliberately desired.;Vérifier que le parcours de répertoire est désactivé à moins ue volontairement souhaité.;Y;Y;Y;;
V4.8;Verify that access controls fail securely.;Vérifier que les contrôles d'accès échouent de manière sure.;Y;Y;Y;;
V4.9;Verify that the same access control rules implied by the presentation layer are enforced on the server side for that user role, such that controls and parameters cannot be re-enabled or re-added from higher privilege users.;Vérifier que les mêmes règles de contrôles d'accès induites par la couche présentation sont imposées du côté serveur pour ce rôle utilisateur, afin que les contrôles et paramètres ne puissent pas être ré-activés ou ré-ajoutés par des utilisateurs de privilèges supérieurs.;N;Y;Y;;
V4.10;Verify that all user and data attributes and policy information used by access controls cannot be manipulated by end users unless specifically authorized.;Vérifier que tous les attributs utilisateur et données et information de politique utilisés par des contrôles d'accès ne peuvent pa être manipulés par les utilisateurs finaux à moins d'une autorisation spécifique.;N;Y;Y;;
V4.11;Verify that all access controls are enforced on the server side.;Vérifier que tous les contrôles d'accès sont imposés du côté serveur.;Y;Y;Y;;
V4.12;Verify that there is a centralized mechanism (including libraries that call external authorization services) for protecting access to each type of protected resource.;Vérifier qu'il existe un mécanisme centralisé (incluant des bibliothèques qui font appel à des services d'autorisation externalisés) pour protéger l'accès à tout type de ressource protégée.;N;N;Y;;
V4.14;Verify that all access control decisions are be logged and all failed decisions are logged.;Vérifier que toutes les décisions de contrôle d'accès sont journalisées et que toutes les décisions échouées sont journalisées.;N;Y;Y;;
V4.16;Verify that the application or framework generates strong random anti-CSRF tokens unique to the user as part of all high value transactions or accessing sensitive data, and that the application verifies the presence of this token with the proper value for the current user when processing these requests.;Vérifier que l'application ou framework génère des tokens anti-CSRF forts et uniques à l'utilisateur dans chaque transactions de haute valeur ou accès à des données sensibles, et que l'application vérifie la présence de ce token avec la valeur correcte pour l'utilisateur en cours lors du traitement de ces requêtes.;Y;Y;Y;;
V4.17;Aggregate access control protection – verify the system can protect against aggregate or continuous access of secured functions, resources, or data. For example, possibly by the use of a resource governor to limit the number of edits per hour or to prevent the entire database from being scraped by an individual user.;Protection de contrôle d'accès aggrégé - vérifier que le système peut protéger contre l'accès aggrégé ou ininterrompu aux fonctions, ressources ou données sécurisées. Par exemple, potentiellement par l'utilisation d'un gouverneur de ressource pour limiter le nombre d'éditions par heure ou pour empêcher la base de données complète d'être creusée par un utilisateur unique.;N;Y;Y;;
V5.1;Verify that the runtime environment is not susceptible to buffer overflows, or that security controls prevent buffer overflows.;Vérifier que l'environnement runtime n'est pas vulnérable aux débordements de tampon, ou que des contrôles de sécurité empêchent des débordements de tampon.;Y;Y;Y;;
V5.3;Verify that all input validation failures result in input rejection.;Vérifier que tous les échecs de validation d'entrée résultent en un rejet d'entrée.;Y;Y;Y;;
V5.4;Verify that a character set, such as UTF-8, is specified for all sources of input.;Vérifier qu'un jeu de caractères, comme UTF-8, est spécifié pour toutes les sources d'entrée.;N;Y;Y;;
V5.5;Verify that all input validation or encoding routines are performed and enforced on the server side.;Vérifier que toutes les routines de validation d'entrée ou encodage sont réalisées et imposées côté serveur.;Y;Y;Y;;
V5.6;Verify that a single input validation control is used by the application for each type of data that is accepted.;Vérifier qu'un contrôle de validation d'entrée unique est utilisé par l'application pour chaque type de donnée qui est accepté.;N;N;Y;;
V5.7;Verify that all input validation failures are logged.;Vérifier que tous les échecs de validation d'entrée sont journalisés.;N;N;Y;;
V5.8;Verify that all input data is canonicalized for all downstream decoders or interpreters prior to validation.;Vérifier que toutes les données d'entrée sont canonicalisées pour tous les décodeurs ou interpréteurs en aval avant la validation.;N;Y;Y;;
V5.10;Verify that the runtime environment is not susceptible to SQL Injection, or that security controls prevent SQL Injection.;Vérifier que l'environnement runtime n'est pas affecté par l'injection SQL, ou que des contrôles de sécurité empêchent l'injection SQL.;Y;Y;Y;;
V5.11;Verify that the runtime environment is not susceptible to LDAP Injection, or that security controls prevent LDAP Injection.;Vérifier que l'environnement runtime n'est pas affecté par l'injection LDAP, ou que des contrôles de sécurité empêchent l'injection LDAP.;Y;Y;Y;;
V5.12;Verify that the runtime environment is not susceptible to OS Command Injection, or that security controls prevent OS Command Injection.;Vérifier que l'environnement runtime n'est pas affecté par l'injection de commande système, ou que des contrôles de sécurité empêchent l'injection de commande système.;Y;Y;Y;;
V5.13;Verify that the runtime environment is not susceptible to XML External Entity attacks or that security controls prevents XML External Entity attacks.;Vérifier que l'environnement runtime n'est pas affecté par les attaques Entité Externe XML, ou que des contrôles de sécurité empêchent les attaques Entité Externe XML.;Y;Y;Y;;
V5.14;Verify that the runtime environment is not susceptible to XML Injections or that security controls prevents XML Injections.;Vérifier que l'environnement runtime n'est pas affecté par les injections XML, ou que des contrôles de sécurité empêchent les injections XML.;Y;Y;Y;;
V5.16;Verify that all untrusted data that are output to HTML (including HTML elements, HTML attributes, JavaScript data values, CSS blocks, and URI attributes) are properly escaped for the applicable context.;Vérifier que toutes les données non fiables qui sont présentées en HTML (incluant les éléments HTML, attributs HTML, valeurs de données JavaScript, blocs CSS, et attributs URI) sont correctement échappés pour le contexte applicable.;Y;Y;Y;;
V5.17;If the application framework allows automatic mass parameter assignment (also called automatic variable binding) from the inbound request to a model, verify that security sensitive fields such as “accountBalance”, “role” or “password” are protected from malicious automatic binding.;"Si le framework d'application permet l'assignement automatique de paramètre en masse (aussi appelé binding de variable automatique) depuis la requête entrante vers un modèle; vérifier que les champs de sécurité sensibles, comme ""accountBalance"", ""role"" ou ""password"" sont protégés contre le binding automatique malicieux.";N;Y;Y;;
V5.18;Verify that the application has defenses against HTTP parameter pollution attacks, particularly if the application framework makes no distinction about the source of request parameters (GET, POST, cookies, headers, environment, etc.);Vérifier que l'application possède des défenses contre les attaques par pollution de paramètre HTTP, en particulier si le framework d'application ne fait pas distinction entre la source des paramètres de requête (GET, POST, cookies, entêtes, environnement, etc.);N;Y;Y;;
V5.19;Verify that for each type of output encoding/escaping performed by the application, there is a single security control for that type of output for the intended destination.;Vérifier que pour chaque type d'encodage/échappement de sortie réalisé par l'application, il existe un unique contrôle de sécurité pour ce type de sortie pour la destination prévue.;N;N;Y;;
V7.1;Verify that all cryptographic functions used to protect secrets from the application user are implemented server side.;"Vérifier que toutes les fonctions cryptographiques utilisées pour
protéger des secrets de l'utilisateur de l'application sont
implémentées côté serveur.";N;Y;Y;;
V7.2;Verify that all cryptographic modules fail securely.;Vérifier que tous les modules cryptographiques échouent de manière sure.;N;Y;Y;;
V7.3;Verify that access to any master secret(s) is protected from unauthorized access (A master secret is an application credential stored as plaintext on disk that is used to protect access to security configuration information).;"Vérifier que l'accès à tout secret (s) maître est protégé contre les
accès non-autorisés (Un secret maître est une information
d'authentification stockée en texte clair sur un disque aui est
utilisé pour protéger l'accès aux informations de configuration de
sécurité).";N;Y;Y;;
V7.6;Verify that all random numbers, random file names, random GUIDs, and random strings are generated using the cryptographic module’s approved random number generator when these random values are intended to be unguessable by an attacker.;"Vérifier que tous les nombres aléatoires, noms de fichiers aléatoires,
GUIDs aléatoires, et chaînes aléatoires sont générées en utilisant le
générateur de nombre aléatoire approuvé du module cyptographique quand
ces valeurs aléatoires sont destinées à être non-prédictibles par un
attaquant.";N;Y;Y;;
V7.7;Verify that cryptographic modules used by the application have been validated against FIPS 140-2 or an equivalent standard.;"Vérifier que les modules cryptographiques utilisés par l'application
ont été validés à partir de FIPS 140-2 ou un standard équivalent.";N;N;Y;;
V7.8;Verify that cryptographic modules operate in their approved mode according to their published security policies.;"Vérifier que les modules cryptographiques opèrent dans leur mode
approuvé en accord avec leur politiques de sécurité publiées.";N;N;Y;;
V7.9;Verify that there is an explicit policy for how cryptographic keys are managed (e.g., generated, distributed, revoked, expired). Verify that this policy is properly enforced.;"Vérifier qu'il existe une politique explicite décrivant la gestion des
clés cryptographiques (par ex.: générées, distribuées, révoquées,
expirées). Vérifier que cette politique est correctement appliquée.";N;Y;Y;;
V8.1;Verify that the application does not output error messages or stack traces containing sensitive data that could assist an attacker, including session id and personal information.;"Vérifier que l'application ne retourne pas de messages d'erreur ou
traces de pile contenant des données sensibles pouvant aider un
attaquant, incluant id de session et information personelle.";Y;Y;Y;;
V8.2;Verify that all error handling is performed on trusted devices;"Vérifier que tous les traitements d'erreur sont réalisés sur des
périphériques de confiance.";N;Y;Y;;
V8.3;Verify that all logging controls are implemented on the server.;"Vérifier que tous les contrôles de journalisation sont implémentés sur
le serveur.";N;Y;Y;;
V8.4;Verify that error handling logic in security controls denies access by default.;"Vérifier que la logique de gestion d'erreur dans les contrôles de
sécurité empêche l'accès par défaut.";N;Y;Y;;
V8.5;Verify security logging controls provide the ability to log both success and failure events that are identified as security-relevant.;"Vérifier que les contrôles de journalisation de sécurité fournissent
la possibilité de journaliser à la fois les événements succès et
échecs qui sont identifiés comme relatifs à la sécurité.";N;Y;Y;;
V8.6;"Verify that each log event includes: a timestamp from a reliable source,
severity level of the event, an indication that this is a security relevant event (if mixed with other logs), the identity of the user that caused the event (if there is a user associated with the event), the source IP address of the request associated with the event, whether the event succeeded or failed, and a description of the event.
";"Vérifier que chaque événement journalisé contient: un timestamp d'une
source fiable, le niveau de sévérité de l'événement, une indication
que c'est un événement de sécurité (si mélangé avec d'autres logs),
l'ientité de l'utilisateur à l'origine de l'événement (si un
utilisateur est associé à l'événement), l'adresse IP source de la
requête liée à l'événement, si l'événement fut un succès ou échec, et
une description de l'événement.";N;Y;Y;;
V8.7;Verify that all events that include untrusted data will not execute as code in the intended log viewing software.;"Vérifier que tous les événements qui incluent des données non sures ne
seront pas exécutées comme du code dans l'outil de visualisation des
journaux.";N;N;Y;;
V8.8;Verify that security logs are protected from unauthorized access and modification.;"Vérifier que les journaux de sécurité sont protégés contre les accès
et modifications non autorisés.";N;Y;Y;;
V8.9;"Verify that there is a single application-level logging implementation that is
used by the software.
";"Vérifier qu'il existe une unique implémentation de journalisation au
niveau de l'application.";N;N;Y;;
V8.10;Verify that the application does not log application-specific sensitive data that could assist an attacker, including user’s session identifiers and personal or sensitive information. The length and existence of sensitive data can be logged.;"Vérifier que l'application ne journalise pas des données sensibles
spécifiques à l'application qui pourraient être utiles à un attaquant,
incluant des identifiants de session utilisateur, informations
personelles ou sensibls. La longueur et existence de données sensibles
peuvent être journalisées.";N;Y;Y;;
V8.11;Verify that a log analysis tool is available which allows the analyst to search for log events based on combinations of search criteria across all fields in the log record format supported by this system.;"Vérifier qu'un outil d'analyse de logs est disponible qui permet à
l'analyste de rechercher des événements journalisés basés sur des
combinaisons de critères de recherche sur tous les champs dans le
format d'enregistrement du journal supporté par le système.";N;Y;Y;;
V8.13;Verify that all non-printable symbols and field separators are properly encoded in log entries, to prevent log injection.;"Vérifier que tous les symboles non-imprimables et séparateurs de
champs sont correctement encodés dans les entrées des journaux, pour
prévenir l'injection de log.";N;N;Y;;
V8.14;Verify that log fields from trusted and untrusted sources are distinguishable in log entries. ;"Vérifier que les champs de log provenant de sources sures et non-sures
sont identifiables dans les entrées de journaux.";N;N;Y;;
V8.15;Verify that logging is performed before executing the transaction. If logging was unsuccessful (e.g. disk full, insufficient permissions) the application fails safe. This is for when integrity and non-repudiation are a must.;"Vérifier que la journalisation est effectuée avant d'effectuer la
transaction. Si la journalisation échoue (par ex. disque plein,
permissions insuffisantes); l'application échoue de manière sure. Ceci
lorsque l'intégrité et non-répudiation sont nécessaires.";N;N;Y;;
V9.1;Verify that all forms containing sensitive information have disabled client side caching, including autocomplete features.;"Vérifier que tous les formulaires contenant des informations sensibles
ont désactivés le mécanisme de cache côté client, incluant les
fonctionnalités de remplissage/complétion automatique.";Y;Y;Y;;
V9.2;Verify that the list of sensitive data processed by this application is identified, and that there is an explicit policy for how access to this data must be controlled, and when this data must be encrypted (both at rest and in transit). Verify that this policy is properly enforced.;"Vérifier que la liste des données sensibles manipulées par
l'application est identifiée, et qu'il existe une politique explicite
décrivant comment l'accès à ces données doit être controlé, et quand
ces données doivent être chiffrées (à la fois au repos et en transit).
vérifier que cette politique est correctement appliquée.";N;N;Y;;
V9.3;Verify that all sensitive data is sent to the server in the HTTP message body (i.e., URL parameters are never used to send sensitive data).;"Vérifier que toutes les données sensibles sont transmises au serveur
dans le corps du message HTTP (par ex., les paramètres d'URL ne sont
jamais utilisés pour transmettre des données sensibles).";Y;Y;Y;;
V9.4;Verify that all cached or temporary copies of sensitive data sent to the client are protected from unauthorized access or purged/invalidated after the authorized user accesses the sensitive data (e.g., the proper no-cache and no-store Cache-Control headers are set).;"Vérifier que toutes les copies en cache ou temporaires des données
sensibles envoyées au client sont protégées contre les accès
non-autorisés ou purgées/invalidées après que l'utilisateur ait accédé
aux données sensibles (par ex., les entêtes correctes no-cache et
no-store Cache-Control sont définis).";N;Y;Y;;
V9.5;Verify that all cached or temporary copies of sensitive data stored on the server are protected from unauthorized access or purged/invalidated after the authorized user accesses the sensitive data.;"Vérifier que toutes les copies en cache ou temporaires des données
sensibles stockées sur le serveur  sont protégées contre les accès
non-autorisés ou purgées/invalidées après que l'utilisateur ait accédé
aux données sensibles.";N;Y;Y;;
V9.6;Verify that there is a method to remove each type of sensitive data from the application at the end of its required retention period.;"Vérifier qu'il existe une méthode pour supprimer chaque type de donnée
sensible de l'application à la fin de sa période de rétention requise.";N;N;Y;;
V9.7;Verify the application minimizes the number of parameters sent to untrusted systems, such as hidden fields, Ajax variables, cookies and header values.;"Vérifier que l'application minimise le nombre de paramètres envoyés
aux systèmes non fiables, comme les champs cachés, variables Ajax,
cookies et valeurs d'entêtes.";N;N;Y;;
V9.8;Verify the application has the ability to detect and alert on abnormal numbers of requests for information or processing high value transactions for that user role, such as screen scraping, automated use of web service extraction, or data loss prevention. For example, the average user should not be able to access more than 5 records per hour or 30 records per day, or add 10 friends to a social network per minute.;"Vérifier que l'application est capable de détecter et alerter en cas
de nombre anormal de requêtes pour information et traitement de
transactions de forte valeur pour ce rôle utilisateur, comme la
capture de données écran, utilisation automatisée d'extraction par
service web, ou prévention de perte de données.
Par exemple, un utilisateur normal ne devrait pas pouvoir accéder plus
de 5 enregistrements par heure ou 30 enregistrements par jour, ou
ajouter 10 amis par minute sur un réseau social.";N;N;Y;;
V10.1;Verify that a path can be built from a trusted CA to each Transport Layer Security (TLS) server certificate, and that each server certificate is valid.;"Vérifier qu'un chemin peut être construit depuis un CA de confiance
vers chaque certificat serveur TLS (Transport Layer
Security), et que chaque certificat serveur est valide.";Y;Y;Y;;
V10.2;Verify that failed TLS connections do not fall back to an insecure HTTP connection.;"Vérifier que les connexions TLs échouées ne retombent pas en
connection HTTP non sécurisée.";N;N;Y;;
V10.3;Verify that TLS is used for all connections (including both external and backend connections) that are authenticated or that involve sensitive data or functions.;"Vérifier que TLS est utilisé pour toutes les connexions (incluant à la
fois les connexions externes et backend) qui sont authentifiées ou qui
impliquent des données ou fonctions sensibles.";N;Y;Y;;
V10.4;Verify that backend TLS connection failures are logged.;Vérifier que les échecs de connexion TLS backend sont journalisés.;N;Y;Y;;
V10.5;Verify that certificate paths are built and verified for all client certificates using configured trust anchors and revocation information.;"Vérifier que les chemins de certificat sont construits et vérifiés
pour tous les certificats clients en utilisant des ancres de confiance
et informations de révocation.";N;N;Y;;
V10.6;Verify that all connections to external systems that involve sensitive information or functions are authenticated.;"Vérifier que toutes les connexions aux systèmes externes qui
impliquent des informations ou fonctions sensibles sont authentifiées.";N;Y;Y;;
V10.7;Verify that all connections to external systems that involve sensitive information or functions use an account that has been set up to have the minimum privileges necessary for the application to function properly.;"Vérifier que toutes les connexions aux systèmes externes qui
impliquent des informations ou fonctions sensibles utilisent un compte
utilisateur qui a été défini avec le niveau minimum de privilèges
requis pour le fonctionnement de l'application.";N;Y;Y;;
V10.8;Verify that there is a single standard TLS implementation that is used by the application that is configured to operate in an approved mode of operation (See http://csrc.nist.gov/groups/STM/cmvp/documents/fips140-2/FIPS1402IG.pdf ).;"Vérifier qu'il existe une unique implémentation de TLS utilisée par l'application qui est configurée pour opérer dans un mode d'opération approuvé (Voir http://csrc.nist.gov/groups/STM/cmvp/documents/fips140-2/FIPS1402IG.pdf).
";N;N;Y;;
V10.9;Verify that specific character encodings are defined for all connections (e.g., UTF-8).;"Vérifier que des encodages de caractères spécifiques sont définis pour toutes les connections (par ex. UTF-8).
";N;N;Y;;
V11.2;Verify that the application accepts only a defined set of HTTP request methods, such as GET and POST and unused methods are explicitly blocked.;"Vérifier que l'application accepte seulement une liste prédéfinie de
méthodes de requête HTTP, comme GET et POST, et que les méthodes non
utilisées sont explicitement bloquées.";Y;Y;Y;;
V11.3;Verify that every HTTP response contains a content type header specifying a safe character set (e.g., UTF-8).;"Vérifier que chaque réponse HTTP contient un entête de type de contenu
spécifiant un jeu de caractères sûr (par ex. UTF-8)";Y;Y;Y;;
V11.6;Verify that HTTP headers in both requests and responses contain only printable ASCII characters.;"Vérifier que les entêtes HTTP, à la fois dans les requêtes et les
réponses, contiennent uniquement des caractères ASCII imprimables.";N;Y;Y;;
V11.8;Verify that HTTP headers and / or other mechanisms for older browsers have been included to protect against clickjacking attacks.;"Vérifier que les entêtes HTTP et/ou autres mécanismes pour les anciens
navigateurs ont été inclus pour protéger contre les attaques
clickjacking.";Y;Y;Y;;
V11.9;Verify that HTTP headers added by a frontend (such as X-Real-IP), and used by the application, cannot be spoofed by the end user. ;"Vérifier que les entêtes HTTP ajoutés par un frontend (comme
X-Real-IP), et utilisés par l'application, ne peuvent pas être usurpés
par l'utilisateur final.";N;Y;Y;;
V11.10;Verify that the HTTP header, X-Frame-Options is in use for sites where content should not be viewed in a 3rd-party X-Frame. A common middle ground is to send SAMEORIGIN, meaning only websites of the same origin may frame it. ;"Vérifier que l'entête HTTP X-Frame-Options est utilisé pour les sites
où le contenu ne devrait pas être obtenu dans une X-Frame tierse. Un
compromis courant est d'envoyé SAMEORIGIN, signifiant que seuls les
sites web de la même origine peuvent le framer.";N;Y;Y;;
