ID,Detailed Verification Requirement,Level 1,Level 2,Level 3,Since
11.1,"Verify that the application accepts only a defined set of required HTTP request methods, such as GET and POST are accepted, and unused methods (e.g. TRACE, PUT, and DELETE) are explicitly blocked.",✓,✓,✓,1
11.2,"Verify that every HTTP response contains a content type header specifying a safe character set (e.g., UTF-8, ISO 8859-1).",✓,✓,✓,1
11.3,"Verify that HTTP headers added by a trusted proxy or SSO devices, such as a bearer token, are authenticated by the application.",,✓,✓,2
11.4,Verify that the Content Security Policy V2 (CSP) is in use for sites where content should not be viewed in a 3rd-party X-Frame.,,✓,✓,2
11.5,Verify that the HTTP headers or any part of the HTTP response do not expose detailed version information of system components.,✓,✓,✓,2
11.6,"Verify that all API responses contain X-Content-Type-Options: nosniff and Content-Disposition: attachment; filename=""api.json"" (or other appropriate filename for the content type).",✓,✓,✓,3
11.7,Verify that the Content Security Policy V2 (CSP) is in use in a way that either disables inline JavaScript or provides an integrity check on inline JavaScript with CSP noncing or hashing.,✓,✓,✓,3
11.8,Verify that the X-XSS-Protection: 1; mode=block header is in place.,✓,✓,✓,3
V12,Security configuration verification requirements - This section was incorporated into V11 in Application Security Verification Standard 2.0. ,,,,
V13,Malicious controls verification requirements,,,,
13.1,"Verify all malicious activity is adequately sandboxed, containerized or isolated to delay and deter attackers from attacking other applications.",,,✓,2
13.2,"Verify that a code review looks for malicious code, back doors, Easter eggs, and logic flaws.",,,✓,3
V14,Internal security verification requirements - This section was incorporated into V13 in Application Security Verification Standard 2.0. ,,,,
V15,Business logic verification requirements,,,,
15.1,"Verify the application will only process business logic flows in sequential step order, with all steps being processed in realistic human time, and not process out of order, skipped steps, process steps from another user, or too quickly submitted transactions.",,✓,✓,2
15.2,"Verify the application has business limits and correctly enforces on a per user basis, with configurable alerting and automated reactions to automated or unusual attack.",,✓,✓,2
V16,Files and resources verification requirements,,,,
16.1,"Verify that URL redirects and forwards only allow whitelisted destinations, or show a warning when redirecting to potentially untrusted content.",✓,✓,✓,2
16.2,"Verify that untrusted file data submitted to the application is not used directly with file I/O commands, particularly to protect against path traversal, local file include, file mime type, and OS command injection vulnerabilities.",✓,✓,✓,2
16.3,Verify that files obtained from untrusted sources are validated to be of expected type and scanned by antivirus scanners to prevent upload of known malicious content.,✓,✓,✓,2
16.4,"Verify that untrusted data is not used within inclusion, class loader, or reflection capabilities to prevent remote/local file inclusion vulnerabilities.",✓,✓,✓,2
16.5,Verify that untrusted data is not used within cross-domain resource sharing (CORS) to protect against arbitrary remote content.,✓,✓,✓,2
16.6,"Verify that files obtained from untrusted sources are stored outside the webroot, with limited permissions, preferably with strong validation.",,✓,✓,3
16.7,Verify that the web or application server is configured by default to deny access to remote resources or systems outside the web or application server.,,✓,✓,2
16.8,Verify the application code does not execute uploaded data obtained from untrusted sources.,✓,✓,✓,3
16.9,"Do not use Flash, Active-X, Silverlight, NACL, client-side Java or other client side technologies not supported natively via W3C browser standards.",✓,✓,✓,2
V17,Mobile verification requirements,,,,
17.1,"Verify that ID values stored on the device and retrievable by other applications, such as the UDID or IMEI number are not used as authentication tokens.",✓,✓,✓,2
17.2,Verify that the mobile app does not store sensitive data onto potentially unencrypted shared resources on the device (e.g. SD card or shared folders).,✓,✓,✓,2
17.3,"Verify that sensitive data is not stored unprotected on the device, even in system protected areas such as key chains.",✓,✓,✓,2
17.4,"Verify that secret keys, API tokens, or passwords are dynamically generated in mobile applications.",,✓,✓,2
17.5,"Verify that the mobile app prevents leaking of sensitive information (for example, screenshots are saved of the current application as the application is backgrounded or writing sensitive information in console) .",,✓,✓,2
17.6,Verify that the application is requesting minimal permissions for required functionality and resources.,,✓,✓,2
17.7,Verify that the application sensitive code is laid out unpredictably in memory (For example ASLR).,✓,✓,✓,2
17.8,Verify that there are anti-debugging techniques present that are sufficient enough to deter or delay likely attackers from injecting debuggers into the mobile app (For example GDB).,,,✓,2
17.9,"Verify that the app does not export sensitive activities, intents, content providers etc., for other mobile apps on the same device to exploit.",✓,✓,✓,2
17.10,Verify that mutable structures have been used for sensitive strings such as account numbers and are overwritten when not used. (Mitigate damage from memory analysis attacks).,,,✓,2
17.11,"Verify that the app’s exposed activities, intents, content providers etc. validate all inputs.",✓,✓,✓,2
V18,Web services verification requirements,,,,
18.1,Verify that the same encoding style is used between the client and the server.,✓,✓,✓,3
18.2,Verify that access to administration and management functions within the Web Service Application is limited to web service administrators.,✓,✓,✓,3
18.3,Verify that XML or JSON schema is in place and verified before accepting input.,✓,✓,✓,3
18.4,Verify that all input is limited to an appropriate size limit.,✓,✓,✓,3
18.5,Verify that SOAP based web services are compliant with Web Services-Interoperability (WS-I) Basic Profile at minimum.,✓,✓,✓,3
18.6,"Verify the use of session-based authentication and authorization. Please refer to sections 2, 3 and 4 for further guidance. Avoid the use of static ""API keys"" and similar.",✓,✓,✓,3
18.7,Verify that the REST service is protected from Cross-Site Request Forgery.,✓,✓,✓,3
18.8,"Verify the REST service explicitly check the incoming Content-Type to be the expected one, such as application/xml or application/json.",,✓,✓,3
18.9,Verify that the message payload is signed to ensure reliable transport between client and service.,,✓,✓,3
18.10,Verify that alternative and less secure access paths do not exist.,,✓,✓,3
V19,Configuration,,,,
19.1,"All components should be up to date with proper security configuration(s) and version(s). This should include removal of unneeded configurations and folders such as sample applications, platform documentation, and default or example users.",✓,✓,✓,3
19.2,"Communications between components, such as between the application server and the database server, should be encrypted, particularly when the components are in different containers or on different systems.",,✓,✓,3
19.3,"Communications between components, such as between the application server and the database server should be authenticated using an account with the least necessary privileges.",,✓,✓,3
19.4,"Verify application deployments are adequately sandboxed, containerized or isolated to delay and deter attackers from attacking other applications.",,✓,✓,3
19.5,Verify that the application build and deployment processes are performed in a secure fashion.,,✓,✓,3
19.6,Verify that authorised administrators have the capability to verify the integrity of all security-relevant configurations to ensure that they have not been tampered with.,,,✓,3
19.7,Verify that all application components are signed.,,,✓,3
19.8,Verify that third party components come from trusted repositories.,,,✓,3
19.9,"Ensure that build processes for system level languages have all security flags enabled, such as ASLR, DEP, and security checks.",,,✓,3
