ASVS Item #;Requirement;Level 1;Level 2;Level 3;Test Complete?;Result
V8.6;"Verify that each log event includes: a timestamp from a reliable source,
severity level of the event, an indication that this is a security relevant event (if mixed with other logs), the identity of the user that caused the event (if there is a user associated with the event), the source IP address of the request associated with the event, whether the event succeeded or failed, and a description of the event.
";N;Y;Y;;
V8.7;Verify that all events that include untrusted data will not execute as code in the intended log viewing software.;N;N;Y;;
V8.8;Verify that security logs are protected from unauthorized access and modification.;N;Y;Y;;
V8.9;"Verify that there is a single application-level logging implementation that is
used by the software.
";N;N;Y;;
V8.10;Verify that the application does not log application-specific sensitive data that could assist an attacker, including user�s session identifiers and personal or sensitive information. The length and existence of sensitive data can be logged.;N;Y;Y;;
V8.11;Verify that a log analysis tool is available which allows the analyst to search for log events based on combinations of search criteria across all fields in the log record format supported by this system.;N;Y;Y;;
V8.13;Verify that all non-printable symbols and field separators are properly encoded in log entries, to prevent log injection.;N;N;Y;;
V8.14;Verify that log fields from trusted and untrusted sources are distinguishable in log entries. ;N;N;Y;;
V8.15;Verify that logging is performed before executing the transaction. If logging was unsuccessful (e.g. disk full, insufficient permissions) the application fails safe. This is for when integrity and non-repudiation are a must.;N;N;Y;;
V9.1;Verify that all forms containing sensitive information have disabled client side caching, including autocomplete features.;Y;Y;Y;;
V9.2;Verify that the list of sensitive data processed by this application is identified, and that there is an explicit policy for how access to this data must be controlled, and when this data must be encrypted (both at rest and in transit). Verify that this policy is properly enforced.;N;N;Y;;
V9.3;Verify that all sensitive data is sent to the server in the HTTP message body (i.e., URL parameters are never used to send sensitive data).;Y;Y;Y;;
V9.4;Verify that all cached or temporary copies of sensitive data sent to the client are protected from unauthorized access or purged/invalidated after the authorized user accesses the sensitive data (e.g., the proper no-cache and no-store Cache-Control headers are set).;N;Y;Y;;
V9.5;Verify that all cached or temporary copies of sensitive data stored on the server are protected from unauthorized access or purged/invalidated after the authorized user accesses the sensitive data.;N;Y;Y;;
V9.6;Verify that there is a method to remove each type of sensitive data from the application at the end of its required retention period.;N;N;Y;;
V9.7;Verify the application minimizes the number of parameters sent to untrusted systems, such as hidden fields, Ajax variables, cookies and header values.;N;N;Y;;
V9.8;Verify the application has the ability to detect and alert on abnormal numbers of requests for information or processing high value transactions for that user role, such as screen scraping, automated use of web service extraction, or data loss prevention. For example, the average user should not be able to access more than 5 records per hour or 30 records per day, or add 10 friends to a social network per minute.;N;N;Y;;
V10.1;Verify that a path can be built from a trusted CA to each Transport Layer Security (TLS) server certificate, and that each server certificate is valid.;Y;Y;Y;;
V10.2;Verify that failed TLS connections do not fall back to an insecure HTTP connection.;N;N;Y;;
V10.3;Verify that TLS is used for all connections (including both external and backend connections) that are authenticated or that involve sensitive data or functions.;N;Y;Y;;
V10.4;Verify that backend TLS connection failures are logged.;N;Y;Y;;
V10.5;Verify that certificate paths are built and verified for all client certificates using configured trust anchors and revocation information.;N;N;Y;;
V10.6;Verify that all connections to external systems that involve sensitive information or functions are authenticated.;N;Y;Y;;
V10.7;Verify that all connections to external systems that involve sensitive information or functions use an account that has been set up to have the minimum privileges necessary for the application to function properly.;N;Y;Y;;
V10.8;Verify that there is a single standard TLS implementation that is used by the application that is configured to operate in an approved mode of operation (See http://csrc.nist.gov/groups/STM/cmvp/documents/fips140-2/FIPS1402IG.pdf ).;N;N;Y;;
V10.9;Verify that specific character encodings are defined for all connections (e.g., UTF-8).;N;N;Y;;
V11.2;Verify that the application accepts only a defined set of HTTP request methods, such as GET and POST and unused methods are explicitly blocked.;Y;Y;Y;;
V11.3;Verify that every HTTP response contains a content type header specifying a safe character set (e.g., UTF-8).;Y;Y;Y;;
V11.6;Verify that HTTP headers in both requests and responses contain only printable ASCII characters.;N;Y;Y;;
V11.8;Verify that HTTP headers and / or other mechanisms for older browsers have been included to protect against clickjacking attacks.;Y;Y;Y;;
V11.9;Verify that HTTP headers added by a frontend (such as X-Real-IP), and used by the application, cannot be spoofed by the end user. ;N;Y;Y;;
V11.10;Verify that the HTTP header, X-Frame-Options is in use for sites where content should not be viewed in a 3rd-party X-Frame. A common middle ground is to send SAMEORIGIN, meaning only websites of the same origin may frame it. ;N;Y;Y;;
V11.12;Verify that the HTTP headers do not expose detailed version information of system components.;N;Y;Y;;
V13.1;Verify that no malicious code is in any code that was either developed or modified in order to create the application.;N;N;Y;;
V13.2;Verify that the integrity of interpreted code, libraries, executables, and configuration files is verified using checksums or hashes.;N;N;Y;;
V13.3;Verify that all code implementing or using authentication controls is not affected by any malicious code.;N;N;Y;;
V13.4;Verify that all code implementing or using session management controls is not affected by any malicious code.;N;N;Y;;
V13.5;Verify that all code implementing or using access controls is not affected by any malicious code.;N;N;Y;;
V13.6;Verify that all input validation controls are not affected by any malicious code.;N;N;Y;;
V13.7;Verify that all code implementing or using output validation controls is not affected by any malicious code.;N;N;Y;;
V13.8;Verify that all code supporting or using a cryptographic module is not affected by any malicious code.;N;N;Y;;
V13.9;Verify that all code implementing or using error handling and logging controls is not affected by any malicious code.;N;N;Y;;
V13.10;Verify all malicious activity is adequately sandboxed.;N;N;Y;;
V13.11;Verify that sensitive data is rapidly sanitized from memory as soon as it is no longer needed and handled in accordance to functions and techniques supported by the framework/library/operating system. ;N;N;Y;;
V15.1;Verify the application processes or verifies all high value business logic flows in a trusted environment, such as on a protected and monitored server.;N;Y;Y;;
V15.2;Verify the application does not allow spoofed high value transactions, such as allowing Attacker User A to process a transaction as Victim User B by tampering with or replaying session, transaction state, transaction or user IDs.;N;Y;Y;;
V15.3;Verify the application does not allow high value business logic parameters to be tampered with, such as (but not limited to): price, interest, discounts, PII, balances, stock IDs, etc.;N;Y;Y;;
V15.4;Verify the application has defensive measures to protect against repudiation attacks, such as verifiable and protected transaction logs, audit trails or system logs, and in highest value systems real time monitoring of user activities and transactions for anomalies.;N;Y;Y;;
V15.5;Verify the application protects against information disclosure attacks, such as direct object reference, tampering, session brute force or other attacks.;N;Y;Y;;
V15.6;Verify the application has sufficient detection and governor controls to protect against brute force (such as continuously using a particular function) or denial of service attacks.;N;Y;Y;;
V15.7;Verify the application has sufficient access controls to prevent elevation of privilege attacks, such as allowing anonymous users from accessing secured data or secured functions, or allowing users to access each other�s details or using privileged functions.;N;Y;Y;;
V15.8;Verify the application will only process business logic flows in sequential step order, with all steps being processed in realistic human time, and not process out of order, skipped steps, process steps from another user, or too quickly submitted transactions.;N;Y;Y;;
V15.9;Verify the application has additional authorization (such as step up or adaptive authentication) for lower value systems, and / or segregation of duties for high value applications to enforce anti-fraud controls as per the risk of application and past fraud.;N;Y;Y;;
V15.10;Verify the application has business limits and enforces them in a trusted location (as on a protected server) on a per user, per day or daily basis, with configurable alerting and automated reactions to automated or unusual attack. Examples include (but not limited to): ensuring new SIM users don�t exceed $10 per day for a new phone account, a forum allowing more than 100 new users per day or preventing posts or private messages until the account has been verified, a health system should not allow a single doctor to access more patient records than they can reasonably treat in a day, or a small business finance system allowing more than 20 invoice payments or $1000 per day across all users. In all cases, the business limits and totals should be reasonable for the business concerned. The only unreasonable outcome is if there are no business limits, alerting or enforcement.;N;Y;Y;;
V16.1;Verify that URL redirects and forwards do not include unvalidated data.;Y;Y;Y;;
V16.2;Verify that file names and path data obtained from untrusted sources is canonicalized to eliminate path traversal attacks.;Y;Y;Y;;
V16.3;Verify that files obtained from untrusted sources are scanned by antivirus scanners to prevent upload of known malicious content.;Y;Y;Y;;
V16.4;Verify that parameters obtained from untrusted sources are not used in manipulating filenames, pathnames or any file system object without first being canonicalized and input validated to prevent local file inclusion attacks.;Y;Y;Y;;
V16.5;Verify that parameters obtained from untrusted sources are canonicalized, input validated, and output encoded to prevent remote file inclusion attacks, particularly where input could be executed, such as header, source, or template inclusion;Y;Y;Y;;
V16.6;Verify remote IFRAMEs and HTML5 cross-domain resource sharing does not allow inclusion of arbitrary remote content.;Y;Y;Y;;
V16.7;Verify that files obtained from untrusted sources are stored outside the webroot.;N;Y;Y;;
V16.8;Verify that web or application server is configured by default to deny access to remote resources or systems outside the web or application server.;N;Y;Y;;
V16.9;Verify the application code does not execute uploaded data obtained from untrusted sources.;N;Y;Y;;
V16.10;Verify if Flash, Silverlight or other rich internet application (RIA) cross domain resource sharing configuration is configured to prevent unauthenticated or unauthorized remote access.;N;Y;Y;;
V17.1;Verify that the client validates SSL certificates;Y;Y;Y;;
V17.2;Verify that unique device ID (UDID) values are not used as security controls.;Y;Y;Y;;
V17.3;Verify that the mobile app does not store sensitive data onto shared resources on the device (e.g. SD card or shared folders);Y;Y;Y;;
V17.4;Verify that sensitive data is not stored in SQLite database on the device.;Y;Y;Y;;
V17.5;Verify that secret keys or passwords are not hard-coded in the executable.;N;Y;Y;;
V17.6;Verify that the mobile app prevents leaking of sensitive data via auto-snapshot feature of iOS.;N;Y;Y;;
V17.7;Verify that the app cannot be run on a jailbroken or rooted device.;N;Y;Y;;
V17.8;Verify that the session timeout is of a reasonable value.;N;Y;Y;;
V17.9;Verify the permissions being requested as well as the resources that it is authorized to access (i.e. AndroidManifest.xml, iOS Entitlements) .;N;Y;Y;;
V17.10;Verify that crash logs do not contain sensitive data.;N;Y;Y;;
V17.11;Verify that the application binary has been obfuscated.;N;N;Y;;
V17.12;Verify that all test data has been removed from the app container (.ipa, .apk, .bar).;N;Y;Y;;
V17.13;Verify that the application does not log sensitive data to the system log or filesystem.;N;Y;Y;;
V17.14;Verify that the application does not enable autocomplete for sensitive text input fields, such as passwords, personal information or credit cards.;N;Y;Y;;
V17.15;Verify that the mobile app implements certificate pinning to prevent the proxying of app traffic.;N;N;Y;;
V17.16;"Verify no misconfigurations are present in the configuration files (Debugging flags set, world readable/writable permissions) and that, by default, configuration settings are set to their safest/most secure
Verify no misconfigurations are present in the configuration files (Debugging flags set, world readable/writable permissions) and that, by default, configuration settings are set to their safest/most secure
value.";N;N;Y;;
V17.17;Verify any 3rd-party libraries in use are up to date, contain no known vulnerabilities.;N;N;Y;;
V17.18;Verify that web data, such as HTTPS traffic, is not cached.;N;N;Y;;
V17.19;Verify that the query string is not used for sensitive data. Instead, a POST request via SSL should be used with a CSRF token.;N;N;Y;;
V17.20;Verify that, if applicable, any personal account numbers are truncated prior to storing on the device.;N;N;Y;;
V17.21;Verify that the application makes use of Address Space Layout Randomization (ASLR).;N;N;Y;;
V17.22;Verify that data logged via the keyboard (iOS) does not contain credentials, financial information or other sensitive data.;N;N;Y;;
V17.23;If an Android app, verify that the app does not create files with permissions of MODE_WORLD_READABLE or MODE_WORLD_WRITABLE;N;N;Y;;
V17.24;Verify that sensitive data is stored in a cryptographically secure manner (even when stored in the iOS keychain).;N;N;Y;;
V17.25;Verify that anti-debugging and reverse engineering mechanisms are implemented in the app.;N;N;Y;;
V17.26;Verify that the app does not export sensitive activities, intents, content providers etc. on Android.;N;N;Y;;
V17.27;Verify that mutable structures have been used for sensitive strings such as account numbers and are overwritten when not used. (Mitigate damage from memory analysis attacks).;N;N;Y;;
V17.28;Verify that any exposed intents, content providers and broadcast receivers perform full data validation on input (Android).;N;N;Y;;
